"a:1A fat2:2B,4C cat:5D","100:104:100,102","((-9999,0),(1,99991))",10101,192.10,13,友達と会うので遅刻した,1010110001,60.298,46,2005-10-19 10:23:54
4f333df6,90a4-4fda-8dd3,"((-9999,0),(1,99991))",10101,46514.1,32,живетезелоземляиижеикаколюди,1646464,298.54,46,2005-10-19 10:23:54
ikjnhgvbhp,klmnopqr,GHIJKLMNOP,6546,0.0,12,いろはにほへどちりぬるをわがよたれぞつねならむ,13453,5.54,46,9999-12-31 23:59:59
bhdhhhaawp,`~!@#$%^,IrelandIRN,22,64.215,12,豆贝尔维克斯艾勒艾弗诶比迪吉吾艾儿,453453,545.28,46,2009-10-19 10:23:54
polkiuytxp,^&*()_+=,kwikdikwik,10434,4512.25145,5,Thequickbrownfoxjumpsoverthelazydog,6558,545.215,46,2005-10-19 10:23:54
ujdhggffap,-{}[]|:;,`~!@#$%^+=,545,66123.212512,6,常ならむ有為の奥山今日越えて浅き夢見,5846,3562021.2,46,2009-10-19 10:23:54
nbhgsbvaap,[]|:;<>?,[]|:;<>?(),-92208,579589.221,7,ハンサム Đẹp trai,7845,6.8,46,2018-10-19 10:23:54
lksdbbhggp,Democrat,dIvoiFijit,0,36416.2,0,6 years 5 months 4 days 3 hours 2 minutes 1,464586,545.2545,46,2018-10-19 10:23:54
llkqwyyyyp,Portugal,Eswatini I,0,0.0,1,友達と会うので遅刻した Ông là nhà văn,4634,23.2128,46,2012-10-19 10:23:54
klmnhgfdcp,IJKLMNOP,InBulgaria,151,54502124.2154,1,сковорода 鍋,786786,3.2298,46,2012-10-19 10:23:54
